<id>	<title>	<RealName>	<CurrentAlias>	<Affiliation>	<Relatives>	<Universe>	<Gender>	<Height>	<Weight>	<Eyes>	<Hair>	<Citizenship>	<Quotation>
1025	Emil Blonsky (Earth-616)	Emil Blonsky 	Abomination 	Former mindless agent of the {{m|Brotherhood of the Shield (Earth-616)|Ancient Order of the Shield}}; former ally of the [[Amatsu-Mikaboshi (Earth-616)|Chaos King]]; formerly ally of the [[Abominations (Earth-9200)|Abominations]] and the [[Forgotten (Earth-616)|Forgotten]]; former member of [[Mephisto (Earth-616)|Mephisto]]'s {{m|Legion Accursed}} &amp; {{m|Komitet Gosudarstvennoy Bezopasnosti (Earth-616)|KGB}}; former partner of the [[Aleksei Sytsevich (Earth-616)|Rhino]], crew of the starship [[Andromeda (Starship)|Andromeda]], agent of the [[Galaxy Master (Earth-616)|Galaxy Master]] and [[George Tarleton (Earth-616)|MODOK]]	[[Nadia Dornova (Earth-616)|Nadia Dornova Blonsky]] (wife, separated)	Earth-616	Male	6'8&quot;	980 lbs	Green 	None	Croatian	Foolish rabble! Your pitiful display is nothing to my new-found power!	
1026	Absalom (Earth-616)	NA	Absalom	{{m|Externals}}	NA	Earth-616	Male	NA	NA	Blue	Blond	American	NA	
1027	Carl Creel (Earth-616)	Carl Creel	[[Absorbing Man]]	[[Mary MacPherran (Earth-616)|Titania]]; formerly {{M|Army of Evil (Earth-616)|Army of Evil}}, {{m|Illuminati (Hood's) (Earth-616)|Illuminati}}, {{m|Masters of Evil}}, {{m|Lethal Legion (Grim Reaper) (Earth-616)|Lethal Legion}},{{r|Hawkeye: Blind Spot #1}} {{m|Astonishing Avengers (Earth-616)|Astonishing Avengers}}, {{M|Worthy}}, {{m|Frightful Four}}, {{M|Legion Accursed (Earth-616)|Legion Accursed}}, {{M|Hydra}}; former agent of [[Loki Laufeyson (Earth-616)|Loki]] and [[They Who Wield Power (Earth-616)|They Who Wield Power]],	Unnamed mother (deceased);&lt;br&gt;	Earth-616	Male	6'4&quot; 	270 lbs.	Blue	Bald	American	You know what that felt like? Carl Creel from [[Bronx]], standing over the God of Thunder? I couldn't explain it if I tried.	
1028	Abyss	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1029	Adam Warlock (Earth-616)	[[Adam Warlock]]	NA	Formerly {{m|Infinity Watch}}, {{m|Universal Church of Truth}}, {{m|Guardians of the Galaxy}}	[[Enclave (Earth-616)|Enclave]] (creators);&lt;br&gt;	Earth-616	Male	6'2&quot;	240lbs	White	Gold	Technically stateless, with no criminal record.	It's the... [[Soul Gem]]... it fights me... it's trying to... break free from my control... again! I can feel it... it wants to suck in... the Souls... of these fallen Knights... just like it did... to [[Autolycus (Sark) (Earth-616)|Autolycus]]... I can't allow this... to happen... not again! I did it! I've got it under control again! But it was so... so hard! I feared it might come to this! The Soul Gem is steadily growing stronger and shedding the Subconscious control I've had over it the last three Years! It seeks to be free to satisfy its unholy Hunger for fresh Souls to suck them out of living Beings! I wear a Fiend upon my Forehead... a Monster I now realize... I must destroy!	
1030	Adam Neramani (Earth-616)	NA	Adam-X	Ally of [[X-Men (Earth-616)|X-Men]]; formerly {{m|Strong Industries}}, [[Shi'ar Empire]], {{M|Crystal Claws}}	NA	Earth-616 	Male	6'2&quot;	210 lbs	Blue	Blond	Shi'ar Empire	NA	
1032	Eric Cameron (Earth-616)	Eric Cameron	Adonis	{{M|Cameron Electronics (Earth-616)|Cameron Electronics}}	Brady cameron (son)	Earth-616	Male	5'6&quot;	133 lbs	Blue	Brown	American	NA	
1033	Adri Nital (Earth-616)	Adri Nital	NA	NA	[[Taj Nital (Earth-616)|Taj Nitall]] (father);&lt;br&gt;[[Jyota Nital (Earth-616)|Jyota Nital]] (mother)	Earth-616	Male	5'1&quot;	95 lbs	Red	Black	Indian	NA	
1034	Adversary (Earth-616)	NA	[[Sefako|Sefako the Twice-Risen God]]	NA	[[Radha Dastoor (Earth-616)|Haven]] (&quot;mother&quot;)&lt;ref&gt;He possessed her unborn child to re-materialize himself in the mortal realm.&lt;/ref&gt;	Earth-616	Male	12'0&quot;	NA	Blue	NA	NA	NA	
1035	Aeroika (Earth-616)	Aeroika	Aeroika	[[Winged Ones (Ytitnedion)|Winged Ones]], [[Defenders (Earth-616)|Defenders]]	NA	Earth-616	Male	NA	NA	NA	Gold	NA	NA	
