<id>	<title>	<Relatives>
1025	Emil	[[Nadia Dornova (Earth-616)|Nadia Dornova Blonsky]] (wife, separated)
1027	Carl	Unnamed mother (deceased);
1029	Adam	[[Enclave (Earth-616)|Enclave]] (creators);
1032	Eric	Brady cameron (son)
1033	Adri	[[Taj Nital (Earth-616)|Taj Nitall]] (father);[[Jyota Nital (Earth-616)|Jyota Nital]] (mother)
1034	Adversary	[[Radha Dastoor (Earth-616)|Haven]] ("mother")
1036	Agatha	[[Nicholas Scratch (Earth-616)|Nicholas Scratch]] (son), [[Brutacus]], [[Hydron]], [[Thornn (Salem's Seven)|Thornn]], [[Vakume]] (grandsons), [[Gazelle]], [[Reptilla]], [[Vertigo (Salem's Seven)|Vertigo]] (granddaughters), [[Abigail Harkness (Earth-616) |Abigail Harkness]] (likely relative) (deceased)
1039	Christoph	Unidentified parents (deceased), Andreas Nord (brother, deceased), [[Ginetta Barsalini (Earth-616)|Ginetta Lucia Barsalini]] (wife, deceased), unnamed child (deceased)
1041	Agon	[[Symak (Earth-616)|Symak]] (father); 
1043	Alejandro	David (father), Rosario (mother),
1050	Ajak	[[Rakar (Earth-616)|Rakar]] (father);
1052	Thomas	[[Ophelia Jones (Earth-616)|Ophelia Jones]] (mother),unidentified father (deceased),[[Ellie Jones (Earth-616)|Ellie Jones]] (sister)
1054	Allatou	[[Nergal (Earth-616)|Nergal]] (husband)[[Category:Nergal Family]]
1056	Alpha	[[Max Eisenhardt (Earth-616)|Magneto]] (creator){{r|All-New Official Handbook of the Marvel Universe Vol 1 1}}{{r|Defenders Vol 1 15}}&lt;!--I don't think I should include all of Magneto's relatives here (Quicksilver and Scarlet Witch, siblings?), but AN Handbook specifically lists Magneto under relatives--&gt;
1057	Marlene	[[Peter Alraune (Earth-616)|Peter Alraune]] (father, deceased){{r|Moon Knight Vol 1 1}}[[Peter Alraune, Jr. (Earth-616)|Peter Alraune Jr.]] (brother,{{r|Moon Knight Vol 1 12}} deceased){{r|Moon Knight Vol 1 23}}Eric{{r|Moon Knight Vol 2 3}} Jules Fontaine (ex-husband){{r|Moon Knight Vol 2 2}}[[Diatrice (Marlene's Daughter) (Earth-616)|Diatrice]] (daughter)
1058	Amaa	[[Rakar (Earth-616)|Rakar]] (husband), [[Arex (Earth-616)|Arex]] (son), [[Ajak (Earth-616)|Ajak]] (son)
1060	Ambur	[[Kobar (Earth-616)|Kobar]], [[La (Earth-616)|La]] (parents);
1061	Jason	[[Ward Strongbow (Earth-616)|Ward Strongbow]] (brother, deceased)
1064	Kingsley	Unidentified mother
1069	Andromeda	[[Attuma (Earth-616)|Attuma]] (father); [[Gelva (Earth-616)|Gelva]] (mother)
1071	Thomas	[[Simon Halloway (Earth-616)|Simon Halloway]] (brother, also active as the Angel in the 1940s, deceased); [[Jason Halloway (Earth-616)|Jason Halloway]] (grandson);[[Hadrian Harmon (Earth-616)|Hadrian Harmon]] (ancestor, deceased)
1072	Simon	[[Hadrian Harmon (Earth-616)|Hadrian Harmon]] (ancestor, deceased);[[Thomas Halloway (Earth-616)|Tom Halloway]] (half-brother);[[Jason Halloway (Earth-616)|Jason Halloway]] (grandnephew)
1073	Warren	Earth-616
1075	Frederick	[[Virusplague (Earth-616)|Virusplague]] (Virus filled with his genetic settings)
1078	Annihilus	Earth-616
1080	Scott	[[Cassandra Lang (Earth-616)|Cassandra Eleanor Lang]] (daughter);
1084	En	[[Baal (Sandstormers) (Earth-616)|Baal]] (adoptive father, deceased);
1085	Wundarr	[[Hektu]] (father), [[Soja]] (mother)
1091	Arcade	Unnamed father (deceased)
1092	Arcanna	[[Phillip Jones (Earth-712)|Phillip Jones]] (husband), [[Katrina Jones (Earth-712)|Katrina]], and [[Drusilla Jones (Earth-712)|Drusilla]] (daughters), [[Andrew Jones (Earth-712)|Andrew]] and [[Benjamin Jones (Earth-712)|Benjamin Thomas]] (sons)
1093	Archer	Earth-1191
1095	Ares	Earth-616
1097	Ariel	[[Ariel (Coconut Grove, Male) (Earth-616)|Ariel]] (unspecified relative{{r|Official Handbook of the Marvel Universe A-Z Update #3}}/ancestor, presumed deceased{{r|Official Handbook of the Marvel Universe Vol 3 #1}})
1104	Arkon	[[Thundra (Earth-715)|Thundra]] (former consort)
1105	Arkus	[[Namor McKenzie (Earth-616)|Namor]], [[Byrrah (Earth-616)|Byrrah]], [[Seth (Atlantean) (Earth-616)|Seth]], [[Dara (Earth-616)|Dara]], [[Namorita Prentiss (Earth-616)|Namorita]] (first cousins once removed)
1106	Antonio	Maria Bonita Rodriguez (ex-wife)
1107	Arnim	[[Leopold Zola (Earth-616)|Ian Zola]] (son);
1117	Erik	[[Jonathan Josten (Earth-616)|Jonathan Josten]] (father, deceased);{{r|Thunderbolts: From the Marvel Vault #1}}
1118	Ronald	[[Michael English (Earth-616)|Michael English]] (brother)
1119	Michael	[[Ronald English (Earth-616)|Ronald English (Atom Smasher)]] (brother, deceased)
1120	Attuma	Unnamed mother (deceased);[[Andromeda Attumasen (Earth-616)|Andromeda]] (daughter);[[Gelva (Earth-616)|The Lady Gelva]] (wife){{r|Fear Itself: Fellowship of Fear #1|; Nerkkod: Breaker of Oceans; formerly Attuma}}
1124	Dominikos	Helen Petrakis (wife);
1125	Azur	[[Kobar (Earth-616)|Kobar]] (father);
1127	Balder	[[Buri (Asgardian) (Earth-616)|Buri (Tiwaz)]] (paternal great-grandfather);
1129	Balor	[[Category:Balor Family]][[Cethlann (Earth-616)|Cethlann]] (wife);[[Category:Cethlann Family]]{{r|Avengers #225}}
1135	John	[[William Falsworth (Earth-616)|William, Lord Falsworth]] (father, deceased), [[James Montgomery Falsworth (Earth-616)|James Montgomery Falsworth]] (Union Jack, brother, deceased), Jane, Lady Falsworth (sister-in-law, deceased), [[Brian Falsworth (Earth-616)|Brian Falsworth]] (Union Jack, nephew, deceased), [[Jacqueline Falsworth (Earth-616)|Jacqueline Falsworth Crichton]] (Spitfire, niece), [[Cedric Crichton (Earth-616)|Cedric, Lord Crichton]] (nephew-in-law, deceased), [[Kenneth Crichton (Earth-616)|Kenneth Crichton]] (Baron Blood, grandnephew, deceased), [[John Crichton (Earth-616)|John Crichton]] (great-grandnephew), [[Katherine Ainsley-Jones (Earth-616)|Katherine Ainsley-Jones]] (distant cousin, deceased)
1140	Wolfgang	[[Elsbeth von Strucker (Earth-616)|Elsbeth von Strucker]] (wife, deceased);
1142	Helmut	[[Harbin Zemo (Earth-616)|Harbin Zemo]] (distant ancestor, deceased);
1146	Georges	[[René Duquesne (Earth-616)|Jean-Luc Batroc]] (possible ancestor);
1148	Lemar	Leon Hoskins (brother)
1155	Belasco	[[Ananym (Earth-616)|Witchfire/Ananym]] (Alleged daughter)
1158	Narda	[[Desiree Vaughn-Pope (Earth-616)|Desiree Vaughn-Pope]] (sister)
1165	Bethany	[[Alexander van Tilburg (Earth-616)|Alexander van Tilburg]] (husband, deceased)
1169	Bi-Beast	The [[Bird People]] (creators),
1173	Bird-Brain	[[Ani-Mator (Earth-616)|Ani-Mator]] (creator)
1177	Lucas	[[Burnum Bishop (Earth-1191)|Burnum Bishop]] (father, deceased);
1180	Felicia	[[Walter Hardy (Earth-616)|Walter Hardy]] (father, deceased);[[Lydia Hardy (Earth-616)|Lydia Hardy]] (mother);Lou (presumably Louise, niece){{r|Women of Marvel: Celebrating Seven Decades Handbook #1}}
1183	William	 [[Claire Temple (Earth-616)|Claire Temple]] (ex-wife);unnamed parents;unnamed sister;[[Thomas Foster (Earth-616)|Tom Foster]] (alias Black Goliath, nephew)
1185	Sir	Lady Evaine (mother), Sir Dandel (father), [[Mordred (Earth-616)|Mordred]] (cousin), [[Arthur Pendragon (Earth-616)|King Arthur Pendragon]] (distant cousin, deceased), Lady Rosamund (wife, deceased), Edward, Geoffrey (sons, deceased), Sir Raston (nephew, immediate successor to Sir Percy, deceased), [[Eobar Garrington (Earth-616)|Eobar Garrington]] (descendant, deceased), [[Nathan Garrett (Earth-616)|Nathan Garrett]] (descendant, deceased), [[Dane Whitman (Earth-616)|Dane Whitman]] (descendant), [[Ernst Wythim (Earth-8834)]] (descendant)
1186	Nathan	Unidentified sister (deceased), [[Dane Whitman (Earth-616)|Dane Whitman]] (Black Knight, nephew), [[Sir Percy of Scandia (Earth-616)|Sir Percy of Scandia]], [[Sir Raston (Earth-616)|Sir Raston]], [[Eobar Garrington (Earth-616)|Sir Eobar Garrington]], [[Sir William (Earth-616)|Sir William]], [[Sir Henry (Earth-616)|Sir Henry]] (Black Knights of past eras, ancestors, deceased); Sir Dandel, Lady Evaine, Lady Rosamund, Edward, Geoffrey (common ancestry, presumed deceased); [[Dafydd ap Iowerth (Earth-616)|Dafydd ap Iowerth]], [[Arthur Pendragon (Earth-616)|Arthur Pendragon]], [[Mordred (Earth-616)|Mordred the Evil]], [[Morgan le Fay (Earth-616)|Morgan Le Fay]] (common ancestry)
1187	Dane	[[Sir Percy of Scandia (Earth-616)|Sir Percy of Scandia]] (ancestor, deceased);
1188	Jerald	[[Susan (Earth-7511)|Princess Susan]] (daughter), [[Gerald Ford (Earth-616)|Gerald Ford]] (Earth-616 counterpart) 
1190	T'Challa	[[Bashenga (Earth-616)|Bashenga]] (paternal ancestor, deceased);
1193	Carson	Fran (ex-wife); Billy Knowles (son, deceased); William Knowles (father, deceased)
1195	Desmond	[[Mama Limbo (Earth-616)|Mama Limbo]] (mother)
1199	Yelena	Unnamed mother and father in [[Kiev]];Olga (aunt){{r|Black Widow Vol 2 #1}}
1203	Joseph	[[Silvio Manfredi (Earth-616)|Silvio Manfredi]] (father), Caterina Manfredi (mother, deceased)
1205	Eric	[[Eric Brooks (Earth-616)|Eric Brooks (Blade)]] (clonal source)
1206	Blaquesmith	Unnamed mother,{{r|X-Men: Phoenix #1}} unnamed Scavengers (adoptive family, deceased)
1207	Blastaar	[[Grondaar (Earth-616)|Grondaar]] (father, deceased);{{r|War of Kings: Warriors #1}}
1211	Clarice	[[Victor Creed (Earth-295)|Sabretooth]] (foster father, deceased), [[Graydon Creed (Earth-295)|Graydon Creed (Horror Show)]] (foster brother, deceased), [[David Richards (Earth-2600)|David Richards]] (foster brother, deceased), [[En Sabah Nur (Earth-295)|Apocalypse]] (ancestor, deceased), [[Nemesis (Earth-295)|Nemesis]] (distant cousin, deceased), [[Jonothon Starsmore (Earth-295)|Chamber]] (distant cousin, deceased)
1212	Franz	Anne Mittelstaedt (wife), Johann Mittelstaedt (son)
