<id>	<title>
1359	Coral (Atlantean) (Earth-616)
1360	Jackson Day (Earth-616)
1361	Christopher Summers (Earth-616)
1362	Thomas Corsi (Earth-616)
1363	Fabian Cortez (Earth-616)
1365	Luchino Nefaria (Earth-616)
1367	Graydon Creed (Earth-616)
1368	Frank Moore (Earth-616)
1369	Eugene Mason (Earth-616)
1370	René Duquesne (Earth-616)
1371	Anton Vanko (Crimson Dynamo) (Earth-616)
1372	Alexander Nevsky (Earth-616)
1373	Yuri Petrovitch (Earth-616)
1375	Valentin Shatalov (Earth-616)
1376	Crule (Earth-616)
1377	Arthur Blackwood (Earth-616)
1379	Crusher (Agent of Pluto) (Earth-616)
1380	Crystalia Amaquelin (Earth-616)
1381	Cybele (Earth-616)
1382	Silas Burr (Earth-616)
1383	André Gerard (Earth-616)
1386	Douglas Ramsey (Earth-616)
1387	D'Ken Neramani (Earth-616)
1388	D'Spayre (Earth-616)
1389	Tandy Bowen (Earth-616)
1390	Dagoth (Earth-616)
1391	Dakimh (Earth-616)
1392	Damballah (Demon) (Earth-616)
1394	Dansen Macabre (Earth-616)
1395	Danielle Moonstar (Earth-616)
1396	Matthew Murdock (Earth-616)
1397	Henry McCoy (Earth-295)
1399	Christopher Powell (Earth-616)
1400	Desmond Pitt (Earth-616)
1402	Laynia Petrovna (Earth-616)
1404	Alison Blaire (Earth-616)
1405	Burtram Worthington (Earth-616)
1406	Deacon Frost (Earth-616)
1407	Dead Girl (Moonbeam) (Earth-616)
1409	Wade Wilson (Earth-616)
1411	Death (Earth-616)
1412	Roland Burroughs (Earth-616)
1414	Phillip Sterling (Earth-616)
1415	Cal'syee Neramani (Earth-616)
1417	Deathurge (Earth-616)
1418	Gabriel Sepulveda (Earth-616)
1419	Marco Delgado (Earth-616)
1420	Delilah (Earth-616)
1421	Demogoblin (Earth-616)
1422	Dennis Dunphy (Earth-616)
1423	Paul Destine (Earth-616)
1424	Irene Adler (Earth-616)
1429	Roger Aubrey (Earth-616)
1430	Devil Dinosaur (Earth-78411)
1432	Eric Payne (Earth-616)
1433	Jean DeWolff (Earth-616)
1434	Esteban Corazón de Ablo (Earth-616)
1435	Rachel Leighton (Earth-616)
1436	Archibald Dyker (Earth-616)
1437	Lillian Crawley (Earth-616)
1441	Dive-Bomber (Earth-616)
1443	Tim Stuart (Earth-616)
1445	Leonard Samson (Earth-616)
1446	Lester Verde (Earth-616)
1447	Douglas Birely (Earth-616)
1448	Victor von Doom (Earth-616)
1450	Anthony Druid (Earth-616)
1451	Johann Fennhoff (Earth-616)
1452	Glitternight (Earth-616)
1453	Otto Octavius (Earth-616)
1454	Joseph Ledger (Earth-712)
1455	Kinji Obatu (Earth-616)
1457	Doctor Sun (Earth-616)
1458	Domina (Earth-616)
1459	Duvid Fortunov (Earth-616)
1460	Neena Thurman (Earth-616)
1462	Domo (Earth-616)
1463	Dorma (Earth-616)
1464	Dormammu (Earth-616)
1465	Doop (Earth-616)
1470	Dulb (Earth-616)
1471	Vlad Dracula (Earth-616)
1473	Tako Shamara (Earth-616)
1475	Dragon Man (Earth-616)
1476	Dragon of the Moon (Earth-616)
1477	Dragona (Earth-616)
1478	Tamara Kurtz (Earth-616)
1479	Frank Drake (Earth-616)
1480	Bram Velsing (Earth-616)
1482	Barbara Robb (Earth-616)
1483	Tiamut (Earth-616)
1484	Dreamqueen (Earth-616)
1485	Druig (Earth-616)
1486	Dromedan (Earth-616)
1487	Timothy Dugan (Earth-616)
1488	Sooraya Qadir (Earth-616)
1489	Dweller-in-Darkness (Earth-616)
1491	Kyle Brock (Earth-616)
1492	Earthquake (Earth-616)
1493	Xanth (Earth-81049)
1494	Renee Deladier (Earth-616)
1495	Edith Harker (Earth-616)
1496	Edwin Jarvis (Earth-616)
1497	Leopold Stryke (Earth-616)
1498	Edward Lavell (Earth-616)
1499	Elihas Starr (Earth-616)
1500	Ego (Earth-616)
1502	Elathan (Earth-616)
1503	Maxwell Dillon (Earth-616)
1504	Electron (Imperial Guard) (Earth-616)
1505	Elektra Natchios (Earth-616)
1507	Elfqueen (Linnea) (Earth-616)
1509	Joshua Foley (Earth-616)
1511	Manuel de la Rocha (Earth-616)
1512	Marius St. Croix (Earth-616)
1513	Jonathan Chambers (Earth-616)
1514	Amora (Earth-616)
1515	Katherine Power (Earth-616)
1516	Charles Delazny Jr. (Earth-616)
1518	Eon (Earth-616)
1519	Epoch (Earth-616)
1520	Equilibrius (Earth-616)
1521	Terrance Sorenson (Earth-616)
1522	Davan Shakari (Earth-616)
1523	Eros (Earth-616)
1524	Eson (Earth-616)
1525	Ereshkigal (Deviant) (Earth-616)
1526	Eternity (Earth-616)
1527	Ever (Earth-616)
1529	Skurge (Earth-616)
1530	Bennet du Paris (Earth-616)
1532	Z'Cann (Earth-616)
1533	Zabu (Earth-616)
1534	Zakka (Earth-616)
1535	Zala Dane (Earth-616)
1536	Maximillian Zaran (Earth-616)
1537	Zarathos (Earth-616)
1539	Thomas Philip Moreau (Earth-616)
1542	Zephyr (Earth-616)
1543	Ambient-Energy Dampening Actualization Module Unit Zero (Earth-4935)
1544	Alexander Power (Earth-616)
1546	Zeus Panhellenios (Earth-616)
1547	Ziran (Earth-616)
1548	Norman Harrison (Earth-616)
1549	Zom (Earth-616)
1550	Simon Garth (Earth-616)
1551	Zsaji (Earth-616)
1552	Zuras (Earth-616)
1553	Zzzax (Earth-616)
1554	Mariko Yashida (Earth-616)
1556	Plan Chu (Earth-616)
1557	Henry Pym (Earth-616)
1558	Rita DeMara (Earth-616)
1559	Ymir (Earth-616)
1560	Yondu Udonta (Earth-691)
1561	Yukio (Earth-616)
1562	Xander (Creators) (Earth-616)
1563	Cassandra Nova Xavier (Earth-616)
1565	Laura Kinney (Earth-616)
1567	Carl Denti (Earth-616)
1568	Nathaniel Grey (Earth-295)
1570	Edith Sawyer (Earth-616)
1572	Uatu (Earth-616)
1573	Ulik (Earth-616)
1576	Ultron (Earth-616)
1577	Umar (Earth-616)
1578	Milos Masaryk (Earth-616)
1580	James Montgomery Falsworth (Earth-616)
1581	Brian Falsworth (Earth-616)
1582	Gunther Bain (Earth-616)
1583	Carmella Unuscione (Earth-616)
1584	Mikhail Ursus (Earth-616)
1586	John Walker (Earth-616)
1587	Utgard-Loki (Earth-616)
1588	Lomen (Earth-616)
1589	Neutron (Imperial Guard) (Earth-616)
1590	Quasi-Motivational Destruct Organism (Earth-616)
1591	Quelin (Earth-616)
1592	Pietro Maximoff (Earth-616)
1594	Obadiah Stane (Earth-616)
1595	Elton Healey (Earth-616)
1596	Odin Borson (Earth-616)
1597	Brian Dunlap (Earth-616)
1598	Ogun (Ninja) (Earth-616)
1599	Arkady Rossovich (Earth-616)
1600	Model X3Z (Earth-616)
1601	Oneg (Earth-616)
1602	Onslaught (Psychic Entity) (Earth-616)
1604	Abner Jonas (Earth-616)
1605	Orka (Earth-616)
1607	Orphan-Maker (Peter) (Earth-616)
1608	Osiris (Earth-616)
1609	Grom (Earth-616)
1610	Leland Owlsley (Earth-616)
1611	Ozymandias (Earth-616)
1612	Fafnir (Nastrond) (Earth-616)
1613	Samuel Wilson (Earth-616)
1614	Falcona (Earth-616)
1615	Autumn Rolfson (Earth-616)
1616	Fandral (Earth-616)
1617	Fang (Imperial Guard) (Earth-616)
1618	Charlie Cluster-7 (Earth-616)
1619	Farouk Al-Fasaud (Earth-616)
1620	Fatale (Earth-616)
1622	Maria Callasantos (Earth-616)
1623	Feron (Excalibur) (Earth-616)
1624	Fever Pitch (Earth-616)
1625	Tomás Ramírez (Earth-616)
1626	Fin (Intruders) (Earth-616)
1627	Fin Fang Foom (Earth-616)
1628	Bonita Juarez (Earth-616)
1629	Gary Gilbert (Earth-616)
1631	Shareen (Earth-81049)
1632	Pyreus Kril (Earth-616)
1633	Angelica Jones (Earth-616)
1634	Trevor Fitzroy (Earth-1191)
1636	Fixx (Earth-1191)
1637	Fiz (Earth-616)
1638	Karl Morgenthau (Earth-616)
1641	Richard Deacon (Earth-616)
1642	Flying Tiger (Earth-616)
1643	Franklin Nelson (Earth-616)
1644	Ross G. Everbest (Earth-616)
1645	Gregory Salinger (Earth-616)
1646	Gloria Dayne (Earth-616)
1647	Carl Walker (Earth-616)
1648	Michael McCain (Earth-616)
1649	Foreigner (Earth-616)
1652	Aleytys Forrester (Earth-616)
1653	Forsung (Earth-616)
1654	Jane Foster (Earth-616)
1655	Foxbat (Earth-616)
1656	Frankenstein's Monster (Earth-616)
1661	Freakmaster (Earth-616)
1662	Spike (Freeman) (Earth-616)
1663	Cathy Webster (Earth-616)
1664	Frey (Earth-616)
1665	Freyja Freyrdottir (Earth-616)
1666	Francois Le Blanc (Earth-616)
1667	Eugene Patilio (Earth-616)
1668	Cordelia Frost (Earth-616)
1669	Fury (Earth-238)
1671	Nicholas Fury (Earth-616)
1673	Randolph James (Earth-616)
1674	Gaea (Earth-616)
1675	Gaia (Earth-616)
1676	Galan (Earth-616)
1677	Rogue (Anna Marie) (Earth-616)
1678	Peter Parker (Earth-616)
1679	Galaxy Master (Earth-616)
1680	Remy LeBeau (Earth-616)
1681	Ernesto  Luigi Gambonno (Earth-616)
1684	Gamora Zen Whoberi Ben Titan (Earth-7528)
1685	Ord Zyonz (Earth-616)
1686	Isaac Christians (Earth-616)
1687	Yuri Topolov (Earth-616)
1690	Gateway (Earth-616)
1691	Gauntlet (Dark Riders) (Earth-616)
1692	Gaza (Earth-616)
1694	Gazelle (Scratch) (Earth-616)
1695	Geb (Earth-616)
1697	Delilah Dearborn (Earth-616)
1698	Geirrodur (Earth-616)
1699	Joshua Link (Earth-616)
1700	Tyler Dayspring (Earth-4935)
1702	Ghaur (Earth-616)
1703	Ghost (Earth-616)
1705	Johnathon Blaze (Earth-616)
1706	Daniel Ketch (Earth-616)
1708	Kenshiro Cochrane (Earth-928)
1711	Martin Blank (Earth-616)
1712	Gideon (Earth-616)
1713	Beckah Parker (Earth-616)
1714	Melvin Potter (Earth-616)
1715	Kallark (Earth-616)
1716	Glynis Zarkov (Earth-616)
1718	Thomas Gideon (Earth-616)
1719	Glytra (Earth-616)
1721	Goblyn (Earth-616)
1722	Matthew Gilden (Earth-616)
1724	Wyatt McDonald (Earth-712)
1725	Gwendolyne Sabuki (Earth-616)
1726	Golem (Statue) (Earth-616)
1727	Jacob Goldstein (Earth-616)
1731	Alphonsus Lefszycic (Earth-616)
1732	George Blair (Earth-616)
1733	Gorgon Petragon (Earth-616)
1736	Gorr (New Men) (Earth-616)
1737	William Burnside (Earth-616)
1738	En Dwi Gast (Earth-616)
1739	Franklin Hall (Earth-616)
1740	Norman Osborn (Earth-616)
1741	Harold Osborn (Earth-616)
1744	Kondrati Topolov (Earth-616)
1745	Paul Duval (Earth-616)
1746	Devlin Greystone (Earth-1191)
1747	John Horton (Earth-616)
1748	Eric Williams (Earth-616)
1749	Maxwell Markham (Earth-616)
1750	Grog (Earth-616)
1751	Gronk (Earth-616)
1752	Gor-Tok (Earth-616)
1753	Growing Man (Earth-6311)
1754	Eric Gruning (Earth-616)
1755	Ekatarina Gryaznova (Earth-616)
1756	James Hudson (Earth-616)
1757	Kevin O'Brien (Earth-616)
1758	Michael O'Brien (Earth-616)
1759	Sybil Dvorak (Earth-616)
1760	Henry Gyrich (Earth-616)
1762	Laurie Collins (Earth-616)
1763	Abraham Kieros (Earth-616)
1767	Michael Suggs (Earth-616)
1768	Banca Rech (Earth-616)
1769	Justin Hammer (Earth-616)
1771	Alistaire Smythe (Earth-616)
1772	Elizabeth Brant (Earth-616)
1773	Blackheart (Earth-616)
1774	Charlotte Jones (Earth-616)
1776	Donald Pierce (Earth-616)
1778	Eric Kleinstock (Earth-616)
1779	Franklin Storm (Earth-616)
1780	George Stacy (Earth-616)
1782	Gwendolyne Stacy (Earth-616)
1784	Quincy Harker (Earth-616)
1785	Leroy Jackson (Earth-616)
1786	Hammerhead (Joseph) (Earth-616)
1789	Hannibal King (Earth-616)
1792	Harry Malone (Earth-616)
1793	Hard-Drive (Earth-616)
1794	Hargen (Earth-616)
1795	Erika Benson (Earth-616)
1796	Harold Harold (Earth-616)
1797	Kodiak Noatak (Earth-616)
1800	Hate-Monger (Earth-616)
1801	Radha Dastoor (Earth-616)
1802	Alexander Summers (Earth-616)
1803	Clinton Barton (Earth-616)
1805	Agent X (Nijo) (Earth-616)
1806	Carter Ryking (Earth-616)
1807	Arthur Goddard (Earth-616)
1808	Heimdall (Earth-616)
1809	Hela (Earth-616)
1810	Helio (Earth-616)
1811	Patricia Walker (Earth-616)
1813	Daimon Hellstrom (Earth-616)
1814	Hemingway (Earth-616)
1816	Hepzibah (Earth-616)
1817	Ayesha (Earth-616)
1818	Hercules (Earth-616)
1819	Hermod Odinson (Earth-616)
1822	Herbert Wyndham (Earth-616)
1824	Hobgoblin (Imperial Guard) (Earth-616)
1825	Roderick Kingsley (Earth-616)
1826	Hoder Vilison (Earth-616)
1827	Hogun (Earth-616)
1830	Horus (Deity) (Earth-616)
1831	Howard Stark (Earth-616)
1832	Howard the Duck (Earth-791021)
1833	Bruce Banner (Earth-616)
1834	John Eisenhart (Earth-928)
1836	Human Torch (Android) (Earth-616)
1837	Jonathan Storm (Earth-616)
1838	Stephanie Hunter (Earth-616)
1839	Albert Potter (Earth-616)
1840	Paige Guthrie (Earth-616)
1841	Hussar (Earth-616)
1843	Hydron (Salem's Seven) (Earth-616)
1844	Mark Milton (Earth-712)
1845	Antoine Delsoin (Earth-616)
1847	Bradley Kroon (Earth-616)
1848	Idunn (Earth-616)
1849	Ikaris (Eternal) (Earth-616)
1850	Ikthalon (Earth-616)
1852	Ilya Zarkov (Earth-616)
1854	Arnold Brown (Earth-616)
1855	Impossible Man (Earth-616)
1856	Impossible Woman (Earth-616)
1857	Impulse (Earth-616)
1858	In-Betweener (Earth-616)
1859	Indech (Earth-616)
1860	Infectia (Josephine) (Earth-616)
1861	Interloper (Earth-616)
1863	Susan Storm (Earth-616)
1864	Irene Merryweather (Earth-616)
1865	Iridia (Earth-616)
1866	Daniel Rand (Earth-616)
1867	Jurgen Hauptmann (Earth-616)
1868	Anthony Stark (Earth-616)
1870	Isis (Deity) (Earth-616)
1871	It the Living Colossus (Earth-616)
1872	John Jonah Jameson (Earth-616)
1873	Zane Yama (Earth-982)
1874	Miles Warren (Earth-616)
1875	Jack Harrison (Earth-616)
1876	Jonathan Hart (Earth-616)
1877	Jason Macendale Jr. (Earth-616)
1878	Dei Guan (Earth-616)
1879	Jaeger (Earth-616)
1881	Marla Madison (Earth-616)
1882	Jarella (Earth-616)
1883	Isaac Javitz (Earth-616)
1884	John Zander (Earth-616)
1886	Jemiah (Earth-616)
1887	Jennifer Kale (Earth-616)
1888	Jessica Jones (Earth-616)
1889	Jonathan Powers (Earth-616)
1890	Haroun ibn Sallah al-Rashid (Earth-616)
1891	Jocasta Vi Quitéria (Earth-616)
1893	Sublime (Earth-616)
1894	Helen Takahama (Earth-616)
1895	Gabriel Jones (Earth-616)
1896	Richard Jones (Earth-616)
1897	Joseph (Earth-616)
1898	Joyboy (Earth-TRN300)
1899	Janice Yanizeski (Earth-616)
1900	Jubilation Lee (Earth-616)
1901	Cain Marko (Earth-616)
1902	Vance Astrovik (Earth-616)
1903	Kevin Plunder (Earth-616)
1904	Kaine Parker (Earth-616)
1905	Kala (Earth-616)
1906	Kaluu (Earth-616)
1907	Haruo Tsuburaya (Earth-616)
1909	Nathaniel Richards (Kang) (Earth-6311)
1910	Frank Oliver (Earth-616)
1911	Karen Page (Earth-616)
1912	Karkas (Earth-616)
1914	Xi'an Coy Manh (Earth-616)
1915	Karnak Mander-Azur (Earth-616)
1916	Karnilla (Earth-616)
1917	Katu Kath (Earth-616)
1918	Keeyah (Earth-616)
1919	Robert Kelly (Earth-616)
1920	Geyr Kluge (Earth-616)
1922	Khoryphos (Earth-616)
1923	Frederick Kiber (Earth-616)
1925	Kierrok (Earth-616)
1926	Simon Maddicks (Earth-616)
1927	Erik Killmonger (Earth-616)
1928	Jonathan Raven (Earth-691)
1929	Christopher Aaronson (Earth-616)
1930	Kingo Sunen (Earth-616)
1931	Wilson Fisk (Earth-616)
1933	Ulysses Klaw (Earth-616)
1935	Mercedes Knight (Earth-616)
1937	Kofi Whitemane (Earth-616)
1939	Kormok (Earth-616)
1940	Michael Korvac (Earth-691)
1941	Krang (Earth-616)
1943	Sergei Kravinoff (Earth-616)
1944	Kro (Earth-616)
1945	Ivan Krushki (Earth-616)
1947	Algrim (Earth-616)
1949	Colin McKay (Earth-616)
1951	La (Earth-616)
1952	La Lunatica (Earth-928)
1954	Woodstock Schumaker (Earth-616)
1955	Yuriko Oyama (Earth-616)
1956	Samantha Dunbar (Heroes Reborn) (Earth-616)
1958	Samuel Sterns (Earth-616)
1960	Leash (Earth-616)
1961	Leech (Earth-616)
1963	Hector Lennox (Earth-616)
1964	Leir (Earth-616)
1966	David Haller (Earth-616)
1968	Leonus (Earth-616)
1969	Parnell Jacobs (Earth-616)
1970	Carol Danvers (Earth-616)
1971	Warlock (Technarch) (Earth-616)
1973	James Proudstar (Earth-616)
1974	B'nee and C'cll (Earth-616)
1975	John Lopez (Earth-616)
1976	Janet van Dyne (Earth-616)
1978	Mary Jane Watson (Earth-616)
1980	Paul Cartier (Earth-616)
1981	Jack Russell (Earth-616)
1983	Whiphand (Earth-616)
1984	David Cannon (Earth-616)
1988	Aelfyre Whitemane (Earth-616)
1989	Whiteout (Earth-616)
1990	Robert Frank (Earth-616)
1992	Katherine Pryde (Earth-811)
1994	Rina Logan (Earth-982)
1996	Richard Gill (Earth-616)
1997	Jackson Arvad (Earth-616)
1998	William Stryker (Earth-616)
1999	William Lumpkin (Earth-616)
2000	Pamela Shaw (Earth-616)
2001	Wipeout (Earth-616)
2002	Wyatt Wingfoot (Earth-616)
2003	Peter Wisdom (Earth-616)
2004	The Witness (Earth-1191)
2005	Takeshi Matsuya (Earth-616)
2006	Bentley Wittman (Earth-616)
2007	Rahne Sinclair (Earth-616)
2009	Simon Williams (Earth-616)
2010	Wong (Earth-616)
2011	Woodgod (Earth-616)
2012	Worm (Savage Land Mutate) (Earth-616)
2013	Brian DeWolff (Earth-616)
2015	Dirk Garthwaite (Earth-616)
2016	Helen Feliciano (Earth-616)
